sa3name,ave_growth,median_growth
Adelaide City,0.009077591554971676,2.8600065403128205e-4
Adelaide Hills,0.02157485457172048,0.012935478933194133
Albany,0.029123969604648137,0.020146358833665667
Albury,0.015300157466861197,0.010622741467030794
Alice Springs,0.025856698060831684,0.03028605472202428
Armadale,0.03254681381870972,0.027525230379955135
Armidale,0.010412423000744297,0.00722735156895693
Auburn,0.008466023930294497,0.003495702037799031
Augusta - Margaret River - Busselton,0.03646691452427464,0.02141748160826351
Bald Hills - Everton Park,0.01812865820790166,0.013735078489424568
Ballarat,0.013633823268022427,0.009193745151437005
Bankstown,0.010913512760969413,0.005582287753526982
Banyule,0.01838562283905487,0.009545280953217272
Barkly,0.043414106048262235,0.03895446631502497
Barossa,0.01808255112713164,0.01017252066867469
Barwon - West,0.014114870979951455,0.011814747859310915
Bathurst,0.012554028894755653,0.009560093570539108
Baulkham Hills,0.010991873851868617,0.0052862572705685285
Baw Baw,0.017296351030722468,0.014006668770457198
Bayside,0.023431674453367357,0.010898835055001888
Bayswater - Bassendean,0.03218526956746115,0.023877705470405353
Beaudesert,0.025330147783376056,0.015579241326223237
Beenleigh,0.018603401220507187,0.01479340580116939
Belconnen,0.014382753294779116,0.010276326748885678
Belmont - Victoria Park,0.03474553794870672,0.023697161469018457
Bendigo,0.017349253903932382,0.012620930435833566
Blacktown,0.009520562962504808,0.005697744046207376
Blacktown - North,0.01354180119197701,0.008260311002422416
Blue Mountains,0.010799578603049698,0.005877922914203415
Blue Mountains - South,0.011081036698875613,0.009969490652940838
Boroondara,0.01825372683217452,0.005807708885485319
Botany,0.019709028875842582,0.014006189630781707
Bourke - Cobar - Coonamble,0.02578162111822979,0.020333425028273622
Bowen Basin - North,0.02305255251720162,0.0186221671613076
Bribie - Beachmere,0.020075155899514252,0.016706815697214994
Brighton,0.013730317884674825,0.012043364839806614
Brimbank,0.008445633534240438,0.004588377603964133
Bringelly - Green Valley,0.015520412061253985,0.014701082823407985
Brisbane Inner,0.02186659559374804,0.011662645516289816
Brisbane Inner - East,0.034018954118349765,0.01974448810495799
Brisbane Inner - North,0.025952984928938605,0.014130520234713062
Brisbane Inner - West,0.032066684461321326,0.017347083156317833
Broadbeach - Burleigh,0.02555147512416167,0.013294702400938885
Broken Hill and Far West,0.03358079411129866,0.030690918944583867
Browns Plains,0.017645674955469648,0.011442907603191665
Brunswick - Coburg,0.01895275442743727,0.013499649364450361
Buderim,0.02117021804234054,0.01508658664369289
Bunbury,0.033070115594965976,0.022966011000608244
Bundaberg,0.025851001440064136,0.0194330439604935
Burnett,0.018973117771537762,0.011662876936831434
Burnie - Ulverstone,0.01795284344424819,0.014541714468602862
Burnside,0.01711661023450306,0.005479798717525242
Caboolture,0.017734099526413916,0.01327951468983013
Caboolture Hinterland,0.027864156754618508,0.02024487394606589
Cairns - North,0.018120515322088027,0.011037176305850549
Cairns - South,0.017271163303080428,0.01022473858737194
Caloundra,0.024466008221999846,0.019234131596168602
Camden,0.012584486798864036,0.009579387395178829
Campaspe,0.01657837549964669,0.014564359901143575
Campbelltown (NSW),0.01237683768460296,0.00965284864272098
Campbelltown (SA),0.014696568576767044,0.00913973436886173
Canada Bay,0.015581081187738377,0.005821955306890336
Canning,0.026399343956505117,0.01801035700696163
Canterbury,0.015458493188727385,0.010998483996433661
Capalaba,0.02233973074245732,0.014417623147687353
Cardinia,0.014948023054329074,0.012213694015583254
Carindale,0.026845918766652987,0.01709940351937833
Carlingford,0.00981251397569749,0.0038906417050796893
Casey - North,0.008470779425242325,0.003903565074626858
Casey - South,0.005307031219490721,0.00837151498848221
Centenary,0.01959199348621654,0.011576941151238307
Central Highlands (Qld),0.02982365253620589,0.019975415662675244
